label,in,out
京ACYHNB,"	001032","	001519"
京S7WX1M,"	191331","	205521"
京KY48YW,"	191810","	210554"
京Y133HY,"	192947","	204021"
京LUP065,"	193925","	220410"
鄂JQRPAV,"	194449","	223135"
京D9GU8C,"	194528","	220047"
京TU8G45,"	194848","	220333"
京T0QT65,"	201937","	231924"
京ZYW6NK,"	202005","	222713"
京QDW4131,"	204451","	235248"
京DH2ADK,"	205119","	232543"
京IXFSQX,"	210035","	220713"
京FDL6206,"	212617","	232055"
京KFA9792,"	213739","	223235"
京JP33AR,"	214001","	225442"
京OLXGUQ,"	222721","	225352"
京IXFSQX,"	210035","	220713"
京FDL6206,"	212617","	232055"
京KFA9792,"	213739","	223235"
京JP33AR,"	214001","	225442"
京OLXGUQ,"	222721","	225352"
京QD85328,"	224041","	234710"
京ICDZ7D,"	224218","	232442"
京OLXGUQ,"	222721","	225352"
京QD85328,"	224041","	234710"
京ICDZ7D,"	224218","	232442"
京RJRWVK,"	224949","	234354"
京U8CXWX,"	225300","	234826"
京I1L6QN,"	230312","	233721"
京I1L6QN,"	230312","	233721"
京PLNU3Y,"	230338","	233902"
京UPE1MG,"	232140","	234253"
京JDN8742,"	232747","	234401"
京Z921S2,"	232844","	234817"
